TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.20.120.370	-	0.999999999979973	-2.00265832257975e-11	13	0	0	25	8746
3.10.450.50	-	0.999999999979973	-2.00265832257975e-11	13	0	0	25	8746
4.10.800.10	-	0.999999999979973	-2.00265832257975e-11	13	0	0	25	8746
3.30.1490.20	-	0.999999999979973	-2.00265832257975e-11	13	0	0	25	8746
1.20.1050.10	-	0.999999999979984	-2.00159593047329e-11	32	0	0	25	8746
3.30.420.10	-	0.999999999979984	-2.00159593047329e-11	32	0	0	25	8746
4.10.400.10	-	0.999999999979984	-2.00159593047329e-11	32	0	0	25	8746
3.40.50.1820	-	0.999999999980178	-1.98220072435337e-11	101	0	0	25	8746
3.40.50.1240	-	0.999999999980187	-1.9812653085775e-11	21	0	0	25	8746
1.20.144.10	-	0.999999999980187	-1.9812653085775e-11	21	0	0	25	8746
3.40.50.10190	-	0.999999999980187	-1.9812653085775e-11	21	0	0	25	8746
3.60.15.10	-	0.999999999980187	-1.9812653085775e-11	21	0	0	25	8746
2.60.40.790	-	0.999999999980187	-1.9812653085775e-11	21	0	0	25	8746
3.30.230.10	-	0.999999999980636	-1.93641849281703e-11	25	0	0	25	8746
3.40.20.10	-	0.999999999980636	-1.93641849281703e-11	25	0	0	25	8746
3.90.79.10	-	0.999999999980636	-1.93641849281703e-11	25	0	0	25	8746
2.110.10.10	-	0.999999999981893	-1.81068001275265e-11	14	0	0	25	8746
1.10.1300.10	-	0.999999999981893	-1.81068001275265e-11	14	0	0	25	8746
3.90.228.10	-	0.999999999981893	-1.81068001275265e-11	14	0	0	25	8746
3.90.890.10	-	0.999999999981893	-1.81068001275265e-11	14	0	0	25	8746
2.30.30.30	-	0.999999999981893	-1.81068001275265e-11	14	0	0	25	8746
1.25.40.90	-	0.999999999981934	-1.80664150566884e-11	28	0	0	25	8746
3.90.1150.10	-	0.999999999981934	-1.80664150566884e-11	28	0	0	25	8746
2.130.10.80	-	0.999999999982715	-1.72844955813756e-11	26	0	0	25	8746
3.60.20.10	-	0.999999999982715	-1.72844955813756e-11	26	0	0	25	8746
1.10.840.10	-	0.999999999982715	-1.72844955813756e-11	26	0	0	25	8746
2.70.170.10	-	0.999999999983707	-1.62930209610165e-11	34	0	0	25	8746
2.130.10.10	-	0.99999999998417	-1.58297274923763e-11	295	0	0	25	8746
2.60.40.340	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
3.40.50.880	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
1.10.1040.10	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
2.30.30.190	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
3.90.810.10	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
3.10.120.10	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
1.10.540.10	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
2.60.40.1180	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
1.20.58.280	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
2.40.155.10	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
3.50.7.10	-	0.999999999986015	-1.39854786124811e-11	12	0	0	25	8746
