ID_REF	VALUE
7892902	11.962
7892903	6.571
7892904	4.533
7892905	3.795
7892906	10.361
7892907	10.181
7892908	4.311
7892909	5.029
7892910	3.221
7892911	5.022
7892912	3.059
7892913	6.139
7892914	4.888
7892915	6.652
7892916	4.835
7892917	4.187
7892918	5.042
7892919	5.568
7892920	7.967
7892921	2.437
7892922	2.642
7892923	2.375
7892924	10.197
7892925	8.166
7892926	6.970
7892927	4.003
7892928	9.382
7892929	2.909
7892930	10.175
7892931	5.073
7892932	6.890
7892933	5.540
7892934	4.768
7892935	8.846
7892936	3.446
7892937	6.115
7892938	7.160
7892939	9.635
7892940	9.641
7892941	9.702
7892942	4.159
7892943	2.208
7892944	8.673
7892945	3.564
7892946	4.108
7892947	11.218
7892948	9.663
7892949	5.174
7892950	2.567
7892951	6.776
7892952	4.478
7892953	5.455
7892954	9.711
7892955	8.672
7892956	10.075
7892957	3.689
7892958	4.015
7892959	5.979
7892960	8.699
7892961	3.954
7892962	3.769
7892963	4.296
7892964	3.857
7892965	2.630
7892966	9.540
7892967	8.750
7892968	9.044
7892969	10.134
7892970	2.442
7892971	2.211
7892972	9.868
7892973	3.098
7892974	4.140
7892975	2.382
7892976	3.035
7892977	9.131
7892978	7.624
7892979	10.021
7892980	4.628
7892981	9.392
7892982	3.283
7892983	10.630
7892984	5.141
7892985	4.616
7892986	11.278
7892987	11.283
7892988	2.097
7892989	5.308
7892990	5.658
7892991	7.641
7892992	10.522
7892993	9.207
7892994	2.803
7892995	2.754
7892996	6.435
7892997	2.576
7892998	7.507
7892999	2.914
7893000	3.421
7893001	8.321
7893002	9.588
7893003	4.702
7893004	5.042
7893005	2.950
7893006	4.704
7893007	6.672
7893008	4.195
7893009	3.562
7893010	4.688
7893011	4.451
7893012	9.449
7893013	4.061
7893014	5.786
7893015	10.950
7893016	3.493
7893017	5.485
7893018	4.669
7893019	6.832
7893021	2.539
7893022	2.478
7893023	7.496
7893024	2.570
7893025	6.663
7893026	4.499
7893027	4.614
7893028	4.573
7893029	8.476
7893030	4.193
7893031	6.919
7893032	6.204
7893033	5.940
7893034	5.670
7893035	4.091
7893036	7.691
7893037	5.251
7893038	2.469
7893039	9.000
7893040	6.123
7893041	2.669
7893042	7.870
7893043	6.071
7893044	2.906
7893045	2.195
7893046	3.140
7893047	4.056
7893048	6.426
7893049	2.636
7893050	8.150
7893051	3.507
7893052	3.569
7893053	4.120
7893055	5.253
7893056	3.750
7893057	2.354
7893058	9.213
7893059	3.296
7893060	3.709
7893061	9.752
7893062	3.440
7893063	4.235
7893064	7.240
7893065	2.675
7893066	2.774
7893067	7.727
7893068	4.771
7893069	5.725
7893070	10.079
7893071	5.633
7893072	4.721
7893073	9.945
7893074	5.672
7893075	6.261
7893076	2.567
7893077	12.143
7893078	1.876
7893079	9.288
7893080	3.241
7893081	9.948
7893082	4.735
7893083	3.973
7893084	7.261
7893085	9.226
7893086	8.501
7893087	9.200
7893088	4.853
7893089	5.088
7893090	10.151
7893091	7.728
7893092	3.746
7893093	2.606
7893094	9.405
7893095	2.856
7893096	8.476
7893097	8.102
7893098	4.216
7893099	5.024
7893100	3.860
7893101	12.057
7893102	3.925
7893103	11.246
7893104	7.502
7893105	8.549
7893106	5.499
7893107	3.024
7893108	3.265
7893109	3.239
7893110	6.209
7893111	5.969
7893112	4.560
7893113	7.405
7893114	3.216
7893115	4.054
7893116	8.160
7893117	2.195
7893118	6.268
7893119	5.212
7893120	3.312
7893121	8.888
7893122	6.562
7893123	6.926
7893124	2.958
7893125	6.473
7893126	3.256
7893127	3.377
7893128	5.282
7893129	3.765
7893130	10.187
7893131	8.793
7893132	3.490
7893133	11.191
7893134	5.725
7893135	2.014
7893136	2.687
7893137	3.858
7893138	11.897
7893139	11.311
7893140	10.059
7893141	6.294
7893142	5.905
7893143	3.119
7893144	2.594
7893145	4.405
7893146	3.837
7893147	11.843
7893148	7.525
7893149	3.673
7893150	6.663
7893151	5.153
7893152	9.643
7893153	10.621
7893154	5.792
7893155	4.317
7893156	3.352
7893157	2.374
7893158	5.146
7893159	5.291
7893160	8.654
7893161	2.203
7893162	4.649
7893163	2.695
7893164	8.075
7893165	4.675
7893166	6.056
7893167	4.014
7893168	5.778
7893169	5.704
7893170	7.024
7893171	6.573
7893172	5.885
7893173	11.279
7893174	2.192
7893175	4.996
7893176	2.186
7893177	2.994
7893178	2.660
7893179	4.234
7893180	4.929
7893181	7.507
7893182	6.042
7893183	2.759
7893184	5.953
7893185	4.589
7893186	3.177
7893187	9.664
7893188	4.983
7893189	11.908
7893190	5.172
7893191	10.303
7893192	2.915
7893193	2.121
7893194	8.523
7893195	3.121
7893196	9.901
7893197	2.070
7893198	2.551
7893199	2.347
7893200	2.335
7893201	9.514
7893202	6.494
7893203	2.496
7893204	5.945
7893205	10.328
7893206	5.442
7893207	4.524
7893208	7.281
7893209	6.255
7893210	6.152
7893211	2.881
7893212	3.856
7893213	4.041
7893214	3.228
7893215	5.125
7893216	4.166
7893217	9.789
7893218	12.175
7893219	4.404
7893220	7.845
7893221	2.228
7893222	4.158
7893223	3.600
7893224	4.581
7893225	5.325
7893226	3.120
7893227	5.931
7893228	5.797
7893229	4.317
7893230	2.600
7893231	10.723
7893232	3.987
7893233	2.686
7893234	4.876
7893235	6.346
7893236	4.400
7893237	7.906
7893238	9.497
7893239	3.568
7893240	9.374
7893241	3.963
7893242	8.015
7893243	2.259
7893244	8.982
7893245	3.210
7893246	5.317
7893247	9.191
7893248	8.042
7893249	5.172
7893250	5.508
7893251	4.297
7893252	2.639
7893253	3.592
7893254	6.261
7893255	5.399
7893256	4.909
7893257	7.002
7893258	8.166
7893259	7.469
7893260	3.614
7893261	10.708
7893262	8.776
7893263	5.458
7893264	11.707
7893265	3.220
7893266	9.660
7893267	2.900
7893268	8.282
7893269	3.449
7893270	11.397
7893271	9.270
7893272	9.727
7893273	6.126
7893274	2.237
7893275	3.350
7893276	2.571
7893277	3.787
7893278	4.670
7893279	2.703
7893280	2.476
7893281	10.694
7893282	3.358
7893283	8.503
7893284	3.658
7893285	4.554
7893286	4.507
7893287	2.678
7893288	6.603
7893289	10.105
7893290	5.307
7893291	5.805
7893292	2.933
7893293	2.339
7893294	7.319
7893295	2.686
7893296	4.963
7893297	8.749
7893298	8.443
7893299	4.347
7893300	3.598
7893301	2.799
7893302	5.134
7893303	2.418
7893304	5.369
7893305	3.150
7893306	5.442
7893307	5.492
7893308	4.392
7893309	5.853
7893310	3.956
7893311	8.140
7893312	2.027
7893313	8.465
7893314	6.435
7893315	4.911
7893316	11.359
7893317	2.474
7893318	4.871
7893319	6.435
7893320	5.720
7893321	10.635
7893322	3.436
7893323	3.022
7893324	5.178
7893325	7.204
7893326	2.633
7893327	3.304
7893328	2.464
7893329	4.807
7893330	2.928
7893331	3.393
7893332	6.362
7893333	8.556
7893334	7.904
7893335	6.957
7893336	9.491
7893337	7.408
7893338	6.816
7893339	10.484
7893340	7.171
7893341	6.519
7893342	4.094
7893343	8.278
7893344	8.258
7893345	11.978
7893346	9.137
7893347	2.435
7893348	6.106
7893349	6.834
7893350	5.745
7893351	8.720
7893352	3.360
7893353	5.549
7893354	9.305
7893355	2.893
7893356	7.735
7893357	9.982
7893358	3.184
7893359	6.643
7893360	4.474
7893361	4.696
7893362	8.729
7893363	10.177
7893364	10.631
7893365	3.707
7893366	5.605
7893367	7.113
7893368	2.124
7893369	6.805
7893370	3.740
7893371	11.726
7893372	3.163
7893373	6.153
7893374	10.998
7893375	3.827
7893376	2.813
7893377	2.481
7893378	2.324
7893379	2.364
7893380	2.608
7893381	2.789
7893382	9.637
7893383	5.752
7893384	5.075
7893385	10.081
7893386	11.973
7893387	2.584
7893388	3.213
7893389	1.934
7893390	10.560
7893391	7.985
7893392	4.517
7893393	9.751
7893394	9.832
7893395	6.288
7893396	5.836
7893397	2.803
7893398	2.936
7893399	8.217
7893400	2.303
7893401	3.207
7893402	7.948
7893403	7.110
7893404	4.608
7893405	5.793
7893406	2.027
7893407	8.661
7893408	4.422
7893409	3.621
7893410	6.132
7893411	4.355
7893412	2.297
7893413	6.603
7893414	11.063
7893415	5.477
7893416	4.281
7893417	2.600
7893418	7.540
7893419	11.651
7893420	6.828
7893421	6.587
7893422	11.032
7893423	2.270
7893424	10.339
7893425	2.364
7893426	2.493
7893427	3.390
7893428	7.308
7893429	3.035
7893430	3.400
7893431	2.037
7893432	5.945
7893433	3.658
7893434	2.021
7893435	6.981
7893436	5.784
7893437	2.643
7893438	6.820
7893439	8.142
7893440	3.239
7893441	8.067
7893442	8.162
7893443	5.014
7893444	5.739
7893445	3.872
7893446	4.022
7893447	7.848
7893448	8.707
7893449	8.216
7893450	3.234
7893451	2.545
7893452	4.817
7893453	7.939
7893454	8.070
7893455	6.885
7893456	2.952
7893457	2.515
7893458	9.594
7893459	5.623
7893460	10.523
7893461	7.610
7893462	4.659
7893463	4.522
7893464	5.771
7893465	3.469
7893466	10.935
7893467	7.354
7893468	5.306
7893469	9.545
7893470	2.535
7893471	7.809
7893472	5.549
7893473	3.861
7893474	4.237
7893475	5.571
7893476	8.045
7893477	7.110
7893478	5.151
7893479	2.624
7893480	6.496
7893481	7.303
7893482	3.755
7893483	6.614
7893484	2.952
7893485	9.295
7893486	10.469
7893487	4.625
7893488	5.067
7893489	2.113
7893490	2.678
7893491	9.268
7893492	3.390
7893493	5.287
7893494	9.972
7893495	3.627
7893496	4.111
7893497	8.523
7893498	10.820
7893499	2.487
7893500	8.122
7893501	4.652
7893502	2.032
7893503	6.373
7893504	8.342
7893505	2.646
7893506	6.183
7893507	12.070
7893508	3.066
7893509	3.032
7893510	3.409
7893511	9.580
7893512	2.993
7893513	5.775
7893514	4.606
7893515	7.973
7893516	10.603
7893517	6.249
7893518	8.034
7893519	3.766
7893520	2.396
7893521	2.744
7893522	2.132
7893523	6.653
7893524	7.874
7893525	4.697
7893526	4.244
7893527	5.456
7893528	7.479
7893529	5.118
7893530	10.314
7893531	6.380
7893532	2.085
7893533	5.773
7893534	9.207
7893535	3.948
7893536	10.012
7893537	2.619
7893538	5.088
7893539	10.320
7893540	10.822
7893541	2.488
7893542	5.969
7893543	10.257
7893544	6.449
7893545	8.524
7893546	6.616
7893547	12.037
7893548	3.687
7893549	5.843
7893550	10.533
7893551	10.226
7893552	6.790
7893553	2.912
7893554	9.211
7893555	5.835
7893556	3.944
7893557	5.146
7893558	8.262
7893559	12.281
7893560	5.512
7893561	9.359
7893562	3.735
7893563	3.624
7893564	11.270
7893565	3.196
7893566	2.865
7893567	5.056
7893568	3.516
7893569	2.791
7893570	4.008
7893571	9.348
7893572	6.616
7893573	8.368
7893574	9.690
7893575	3.315
7893576	2.747
7893577	4.791
7893578	2.801
7893579	2.716
7893580	3.708
7893581	4.276
7893582	11.244
7893583	6.146
7893584	4.332
7893585	7.184
7893586	5.644
7893587	5.501
7893588	3.107
7893589	3.744
7893590	4.388
7893591	10.575
7893592	10.196
7893593	9.653
7893594	7.709
7893595	3.034
7893596	4.472
7893597	2.391
7893598	7.133
7893599	6.887
7893600	4.885
7893601	5.953
7893602	10.138
7893603	8.928
7893604	3.485
7893605	10.552
7893606	5.139
7893607	3.351
7893608	6.262
7893609	10.478
7893610	3.858
7893611	2.713
7893612	2.343
7893613	8.281
7893614	3.593
7893615	6.094
7893616	5.019
7893617	6.643
7893618	3.825
7893619	7.781
7893620	2.085
7893621	2.017
7893622	3.346
7893623	2.825
7893624	4.114
7893625	2.253
7893626	2.841
7893627	4.841
7893628	8.589
7893629	2.031
7893630	4.698
7893631	5.318
7893632	11.379
7893633	9.134
7893634	9.588
7893635	3.955
7893636	2.203
7893637	4.338
7893638	2.901
7893639	9.640
7893640	8.494
7893641	9.545
7893642	11.098
7893643	2.574
7893644	6.702
7893645	5.093
7893646	8.402
7893647	10.995
7893648	3.023
7893649	7.712
7893650	11.573
7893651	8.605
7893652	3.087
7893653	2.693
7893654	7.083
7893655	3.841
7893656	2.135
7893657	5.104
7893658	4.925
7893659	4.899
7893660	7.840
7893661	7.933
7893662	11.244
7893663	3.882
7893664	8.173
7893665	3.314
7893666	2.720
7893667	2.690
7893668	3.163
7893669	5.367
7893670	9.593
7893671	3.410
7893672	6.341
7893673	4.427
7893674	2.236
7893675	7.805
7893676	10.824
7893677	12.057
7893678	2.469
7893679	2.665
7893681	1.809
7893682	8.207
7893683	5.438
7893684	8.898
7893685	8.278
7893686	4.267
7893687	2.256
7893688	2.753
7893689	10.595
7893690	9.758
7893691	2.385
7893692	8.509
7893693	3.358
7893694	2.135
7893695	6.116
7893696	6.461
7893697	3.603
7893698	4.208
7893699	4.816
7893700	7.891
7893701	8.644
7893702	2.388
7893703	4.919
7893704	3.935
7893705	8.179
7893706	3.913
7893707	5.197
7893708	7.115
7893709	8.889
7893710	9.598
7893711	5.733
7893712	3.376
7893713	5.784
7893714	6.638
7893715	8.552
7893716	4.356
7893717	5.697
7893718	3.365
7893719	2.490
7893720	7.715
7893721	6.548
7893722	5.493
7893723	3.092
7893724	5.350
7893725	11.397
7893726	6.050
7893727	11.622
7893728	6.229
7893729	6.667
7893730	5.409
7893731	6.821
7893732	9.471
7893733	11.241
7893734	10.665
7893735	4.088
7893736	5.202
7893737	6.289
7893738	8.630
7893739	9.165
7893740	10.558
7893741	2.904
7893742	2.063
7893743	7.064
7893744	7.558
7893745	5.440
7893746	3.142
7893747	7.541
7893748	6.014
7893749	2.429
7893750	4.937
7893751	5.150
7893752	9.548
7893753	2.183
7893754	3.797
7893755	2.342
7893756	2.819
7893757	3.024
7893758	3.617
7893759	9.831
7893760	2.989
7893761	6.260
7893762	12.335
7893763	11.973
7893764	4.030
7893765	4.700
7893766	7.955
7893767	4.010
7893768	6.771
7893769	7.177
7893770	3.934
7893771	5.270
7893772	3.275
7893773	11.101
7893774	7.008
7893775	2.334
7893776	2.083
7893777	7.868
7893778	8.192
7893779	7.822
7893780	2.601
7893781	8.046
7893782	9.510
7893783	10.569
7893784	6.279
7893785	10.803
7893786	5.363
7893787	2.630
7893788	8.446
7893789	8.862
7893790	5.429
7893791	4.581
7893792	7.873
7893793	6.519
7893794	3.594
7893795	5.772
7893796	4.912
7893797	4.120
7893798	3.816
7893799	2.687
7893800	8.322
7893801	3.880
7893802	9.542
7893803	3.617
7893804	4.397
7893805	6.062
7893806	6.256
7893807	6.486
7893808	12.302
7893809	6.602
7893810	5.891
7893811	4.875
7893812	4.508
7893813	4.215
7893814	6.408
7893815	10.229
7893816	9.711
7893817	5.128
7893818	5.049
7893819	3.193
7893820	9.909
7893821	8.697
7893822	5.652
7893823	3.473
7893824	6.141
7893825	6.156
7893826	3.563
7893827	9.352
7893828	4.323
7893829	2.133
7893830	3.095
7893831	4.881
7893832	4.204
7893833	6.177
7893834	7.578
7893835	8.267
7893836	10.149
7893837	3.789
7893838	10.689
7893839	3.933
7893840	7.450
